year,city  ,ntd
2013,苗栗縣,1053452
2013,彰化縣,987073
2013,南投縣,1027639
2013,雲林縣,861185
2013,嘉義縣,907711
2013,屏東縣,927097
2013,臺東縣,832130
2013,花蓮縣,951580
2013,澎湖縣,911077
2013,基隆市,1001882
2013,新竹市,1518434
2013,嘉義市,1135691
2013,金門縣,1113949
2013,連江縣,1170980
2014,臺灣地區,1176877
2014,新北市,1157952
2014,臺北市,1683958
2014,桃園市,1277263
2014,臺中市,1115529
2014,臺南市,959415
2014,高雄市,1137939
2014,宜蘭縣,1106961
2014,新竹縣,1460798
2014,苗栗縣,1053452
2014,彰化縣,987073
2014,南投縣,1027639
2014,雲林縣,861185
2014,嘉義縣,907711
2014,屏東縣,927097
2014,臺東縣,832130
2014,花蓮縣,951580
2014,澎湖縣,911077
2014,基隆市,1001882
2014,新竹市,1518434
2014,嘉義市,1135691
2014,金門縣,1113949
2014,連江縣,1170980
2015,臺灣地區,1176877
2015,新北市,1157952
2015,臺北市,1683958
2015,桃園市,1277263
2015,臺中市,1115529
2015,臺南市,959415
2015,高雄市,1137939
2015,宜蘭縣,1106961
2015,新竹縣,1460798
2015,苗栗縣,1053452
2015,彰化縣,987073
2015,南投縣,1027639
2015,雲林縣,861185
2015,嘉義縣,907711
2015,屏東縣,927097
2015,臺東縣,832130
2015,花蓮縣,951580
2015,澎湖縣,911077
2015,基隆市,1001882
2015,新竹市,1518434
2015,嘉義市,1135691
2015,金門縣,1113949
2015,連江縣,1170980
2016,臺灣地區,1176877
2016,新北市,1157952
2016,臺北市,1683958
2016,桃園市,1277263
2016,臺中市,1115529
2016,臺南市,959415
2016,高雄市,1137939
2016,宜蘭縣,1106961
2016,新竹縣,1460798
2016,苗栗縣,1053452
2016,彰化縣,987073
2016,南投縣,1027639
2016,雲林縣,861185
2016,嘉義縣,907711
2016,屏東縣,927097
2016,臺東縣,832130
2016,花蓮縣,951580
2016,澎湖縣,911077
2016,基隆市,1001882
2016,新竹市,1518434
2016,嘉義市,1135691
2016,金門縣,1113949
2016,連江縣,1170980
2017,臺灣地區,1176877
2017,新北市,1157952
2017,臺北市,1683958
2017,桃園市,1277263
2017,臺中市,1115529
2017,臺南市,959415
2017,高雄市,1137939
2017,宜蘭縣,1106961
2017,新竹縣,1460798
2017,苗栗縣,1053452
2017,彰化縣,987073
2017,南投縣,1027639
2017,雲林縣,861185
2017,嘉義縣,907711
2017,屏東縣,927097
2017,臺東縣,832130
2017,花蓮縣,951580
2017,澎湖縣,911077
2017,基隆市,1001882
2017,新竹市,1518434
2017,嘉義市,1135691
2017,金門縣,1113949
2017,連江縣,1170980
2018,臺灣地區,1176877
2018,新北市,1157952
2018,臺北市,1683958
2018,桃園市,1277263
2018,臺中市,1115529
2018,臺南市,959415
2018,高雄市,1137939
2018,宜蘭縣,1106961
2018,新竹縣,1460798
2018,苗栗縣,1053452
2018,彰化縣,987073
2018,南投縣,1027639
2018,雲林縣,861185
2018,嘉義縣,907711
2018,屏東縣,927097
2018,臺東縣,832130
2018,花蓮縣,951580
2018,澎湖縣,911077
2018,基隆市,1001882
2018,新竹市,1518434
2018,嘉義市,1135691
2018,金門縣,1113949
2018,連江縣,1170980
2019,臺灣地區,1335845
2019,新北市,1387812
2019,臺北市,1839410
2019,桃園市,1434755
2019,臺中市,1357725
2019,臺南市,1120897
2019,高雄市,1291257
2019,宜蘭縣,1129513
2019,新竹縣,1638924
2019,苗栗縣,1118245
2019,彰化縣,1063532
2019,南投縣,977337
2019,雲林縣,962508
2019,嘉義縣,875083
2019,屏東縣,991795
2019,臺東縣,924646
2019,花蓮縣,989679
2019,澎湖縣,1058980
2019,基隆市,1200698
2019,新竹市,1697637
2019,嘉義市,1253212
2019,金門縣,1182626
2019,連江縣,1245476
2020,臺灣地區,1356343
2020,新北市,1426111
2020,臺北市,1831867
2020,桃園市,1462219
2020,臺中市,1354544
2020,臺南市,1132515
2020,高雄市,1289257
2020,宜蘭縣,1175248
2020,新竹縣,1713251
2020,苗栗縣,1204202
2020,彰化縣,1032543
2020,南投縣,1036424
2020,雲林縣,1017294
2020,嘉義縣,927266
2020,屏東縣,1089496
2020,臺東縣,946168
2020,花蓮縣,1059113
2020,澎湖縣,1115176
2020,基隆市,1155653
2020,新竹市,1733435
2020,嘉義市,1261225
2020,金門縣,1181909
2020,連江縣,1365188
